bill_number,title,domain_title_terms,broad_title_terms,committee_net,fetch_status,legislation_type,text_chars,text_terms,snippet,decision,reason,note
,Worcester DA 2022 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,AGO 2022 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,Norfolk DA 2022 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,Middlesex DA 2022 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,An Act relative to student and educator data privacy,privacy;data_privacy_protection,data,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,An Act relative to student and educator data privacy,privacy;data_privacy_protection,data,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,Northwestern DA 2022 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,Essex County DA 2022 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,An Act relevant to the surveillance and reporting of Long COVID,surveillance,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,A report of the District Attorney of the Cape and Islands District (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,A communication from the District Attorney of Essex County (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,A report of the Middlesex District Attorney (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,A communication from the District Attorney of Norfolk County (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,A communication from the Northwestern District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,A report of the District Attorney of Worcester County (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,A communication from the Hampden County District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,Special report of the Special Commission to Evaluate Government Use of Facial Recognition Technology (under Section 105 of Chapter 253 of the Acts of 2020 and most recently revived and continued by Section70 of Chapter 2 of the Acts of 2023) submitting its final report and appendices,facial_recognition,technology,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,The annual report of the Norfolk County District Attorney’s Office (under Section 99(R) of Chapter 272 of the General Laws) submitting its report relative to wiretaps for calendar year 2023,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,A report of the District Attorney of Essex County (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
,A communication from the Hampden County District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,wiretap_interception,,,docket_only_no_text,,,,,exclude,EX-NOBILL,auto
