source,target,link_type,confidence,evidence,evidence_url
H4241,H4115,redraft_of,verified-official-record,New draft of H4115,https://malegislature.gov/Bills/193/H4241
H4241,193:H4115,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4241/SimilarBills
H4241,193:H4744,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4241/SimilarBills
H4241,193:H1745,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4241/SimilarBills
H4241,189:H1567,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4241/SimilarBills
H4241,190:H948,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4241/SimilarBills
H4744,193:H4115,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4744/SimilarBills
H4744,193:H4241,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4744/SimilarBills
H4744,193:H1745,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4744/SimilarBills
H4744,189:H1567,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4744/SimilarBills
H4744,190:H948,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4744/SimilarBills
H1283,H4266,text_near_identical,verified-text-comparison,normalized 8-gram Jaccard 0.849 between official texts,https://malegislature.gov/Bills/193/H1283
H1442,S1022,text_identical,verified-text-comparison,normalized 8-gram Jaccard 0.901 between official texts,https://malegislature.gov/Bills/193/H1442
H1455,S209,text_identical,verified-text-comparison,normalized 8-gram Jaccard 0.996 between official texts,https://malegislature.gov/Bills/193/H1455
H1653,S27,text_identical,verified-text-comparison,normalized 8-gram Jaccard 1.000 between official texts,https://malegislature.gov/Bills/193/H1653
H1707,S971,text_identical,verified-text-comparison,normalized 8-gram Jaccard 0.944 between official texts,https://malegislature.gov/Bills/193/H1707
H1728,H4359,text_near_identical,verified-text-comparison,normalized 8-gram Jaccard 0.839 between official texts,https://malegislature.gov/Bills/193/H1728
H1728,S927,text_identical,verified-text-comparison,normalized 8-gram Jaccard 0.988 between official texts,https://malegislature.gov/Bills/193/H1728
H3179,S218,text_near_identical,verified-text-comparison,normalized 8-gram Jaccard 0.747 between official texts,https://malegislature.gov/Bills/193/H3179
H357,S148,text_identical,verified-text-comparison,normalized 8-gram Jaccard 1.000 between official texts,https://malegislature.gov/Bills/193/H357
H377,S174,text_identical,verified-text-comparison,normalized 8-gram Jaccard 0.960 between official texts,https://malegislature.gov/Bills/193/H377
H386,S184,text_identical,verified-text-comparison,normalized 8-gram Jaccard 1.000 between official texts,https://malegislature.gov/Bills/193/H386
H4359,S927,text_near_identical,verified-text-comparison,normalized 8-gram Jaccard 0.839 between official texts,https://malegislature.gov/Bills/193/H4359
H4421,H530,text_identical,verified-text-comparison,normalized 8-gram Jaccard 0.946 between official texts,https://malegislature.gov/Bills/193/H4421
H4421,S2666,text_identical,verified-text-comparison,normalized 8-gram Jaccard 1.000 between official texts,https://malegislature.gov/Bills/193/H4421
