bill_number,docket_number,title,docket_only,primary_sponsor,domain_title_terms,broad_title_terms,committee_net,url
H329,HD557,An Act relative to disclosure notice in the right to repair motor vehicle data law,no,Steven S. Howitt,,data;right_to_repair,,https://malegislature.gov/Bills/193/H329
H3309,HD1616,An Act establishing an auction or online transfer for low number registration plates in the Registry of Motor Vehicles,no,Ann-Margaret Ferrante,,online,,https://malegislature.gov/Bills/193/H3309
H3325,HD3517,An Act relative to the safe operation of drones in the Commonwealth,no,Jessica Ann Giannino,,drones,,https://malegislature.gov/Bills/193/H3325
H3358,HD179,An Act relative to airplane noise data collection and Good Neighbor Policy,no,Sally P. Kerans,,data,,https://malegislature.gov/Bills/193/H3358
H3372,HD3081,An Act relative to third party delivery data reporting,no,Jay D. Livingstone,,data,,https://malegislature.gov/Bills/193/H3372
H3429,HD595,An Act relative to unmanned aerial systems,no,William M. Straus,,drones,,https://malegislature.gov/Bills/193/H3429
H3431,HD425,An Act relative to license plate readers,no,William M. Straus,,plate_reader,,https://malegislature.gov/Bills/193/H3431
H3445,HD3181,An Act relative to automobile technology,no,William M. Straus,,technology,,https://malegislature.gov/Bills/193/H3445
H3469,HD2920,An Act relative to electronic toll payments,no,Tommy Vitolo,,electronic,,https://malegislature.gov/Bills/193/H3469
H351,HD2217,An Act relative to consumer protection on online automobile franchise transactions,no,Jack Patrick Lewis,,online;consumer_protection,,https://malegislature.gov/Bills/193/H351
H3561,HD1688,An Act relative to posting information about the National Human Trafficking Resource Center hotline,no,Tackey Chan,,information,,https://malegislature.gov/Bills/193/H3561
H3585,HD1241,An Act relative to telehealth and digital equity for patients,no,Vanna Howard,,digital,,https://malegislature.gov/Bills/193/H3585
H360,HD3826,An Act relative to digital right to repair,no,Adrian C. Madaro,,digital;right_to_repair,,https://malegislature.gov/Bills/193/H360
H3700,HD3029,An Act relative to consumer protection and private utility lines and poles,no,Dylan A. Fernandes,,consumer_protection,,https://malegislature.gov/Bills/193/H3700
H3763,HD2876,An Act relative to healthcare proxy information,no,Sally P. Kerans,,information,,https://malegislature.gov/Bills/193/H3763
H3780,HD3439,"An Act related to the resiliency, public safety and quality of broadband in Massachusetts",no,Kip A. Diggs,,,J33,https://malegislature.gov/Bills/193/H3780
H3818,HD3784,An Act preventing rampant online technological exploitation and criminal trafficking,no,Manny Cruz,,online,,https://malegislature.gov/Bills/193/H3818
H383,HD2815,An Act allowing electronic delivery receipts for certain bulk sale customers,no,Jeffrey N. Roy,,electronic,,https://malegislature.gov/Bills/193/H383
H3831,HD967,An Act to establish public internet service,no,David Henry Argosky LeBoeuf,,internet,J33,https://malegislature.gov/Bills/193/H3831
H3847,HD4315,"Communication from the Department of Energy Resources of the Executive Office of Energy and Environmental Affairs (under the provisions of section 12 of Chapter 25A of the General Laws) submitting regulations 225 CMR 24.00 – Municipal Fossil Fuel Free Building Construction and Renovation Demonstration Project, and also establishing data reporting requirements and assessment procedures to measure impacts of fossil fuel free building code requirements",no,Department of Energy Resources,,data,,https://malegislature.gov/Bills/193/H3847
H386,HD3855,An Act relative to consumer health data,no,Lindsay N. Sabadosa,,data,,https://malegislature.gov/Bills/193/H386
H3863,HD4122,An Act relative to the dangerous release of personal civil rights information,no,Susan Williams Gifford,,information,,https://malegislature.gov/Bills/193/H3863
H395,HD3195,An Act relative to online advertising,no,William M. Straus,,online,,https://malegislature.gov/Bills/193/H395
H4021,HD4285,An Act requiring employers to post information on veterans' benefits and services,no,Peter Capano,,information,,https://malegislature.gov/Bills/193/H4021
H4024,,An Act establishing a commission on automated decision-making by government in the Commonwealth,no,"Joint Committee on Advanced Information Technology, the Internet and Cybersecurity",,,J33,https://malegislature.gov/Bills/193/H4024
H4027,HD4478,An Act allowing print free digital legal notices for the town of Arlington,no,Sean Garballey,,digital,,https://malegislature.gov/Bills/193/H4027
H4132,,An Act allowing electronic delivery receipts for certain bulk sale customers,no,Joint Committee on Consumer Protection and Professional Licensure,,electronic,,https://malegislature.gov/Bills/193/H4132
H4154,HD4505,An Act relative to stores offering digital coupons,no,Jeffrey Rosario Turco,,digital,,https://malegislature.gov/Bills/193/H4154
H419,HD936,"An Act establishing an advisory commission on science, technology, engineering, and mathematics",no,Edward R. Philips,,technology,,https://malegislature.gov/Bills/193/H419
H4222,HD4730,An Act advancing grid enhancement technology,no,Jeffrey N. Roy,,technology,,https://malegislature.gov/Bills/193/H4222
H4242,HD4781,An Act to provide for the future information technology needs of Massachusetts,no,Maura T. Healey,,information;technology,,https://malegislature.gov/Bills/193/H4242
H4266,,An Act protecting public higher education student information,no,Joint Committee on Higher Education,,information,,https://malegislature.gov/Bills/193/H4266
H431,HD1146,An Act to expand the Massachusetts School Building Authority and create a new program to assist public school districts with 21st century technology upgrades,no,Bruce J. Ayers,,technology,,https://malegislature.gov/Bills/193/H431
H4331,,An Act relative to authorizing electronic signatures for criminal complaints,no,Joint Committee on the Judiciary,,electronic,,https://malegislature.gov/Bills/193/H4331
H4332,,An Act to simplify the administrative aspect of evidentiary use of medical information,no,Joint Committee on the Judiciary,,information,,https://malegislature.gov/Bills/193/H4332
H4345,HD4885,Extension Order - Consumer Protection and Professional Licensure,no,Tackey Chan,,consumer_protection,,https://malegislature.gov/Bills/193/H4345
H4346,HD4886,Extension Order - Consumer Protection and Professional Licensure,no,Tackey Chan,,consumer_protection,,https://malegislature.gov/Bills/193/H4346
H4347,HD4887,Extension Order - Consumer Protection and Professional Licensure,no,Tackey Chan,,consumer_protection,,https://malegislature.gov/Bills/193/H4347
H4348,HD4888,Extension Order - Consumer Protection and Professional Licensure,no,Tackey Chan,,consumer_protection,,https://malegislature.gov/Bills/193/H4348
H4349,HD4889,Extension Order - Consumer Protection and Professional Licensure,no,Tackey Chan,,consumer_protection,,https://malegislature.gov/Bills/193/H4349
H4378,HD4905,"Extension Order - Telecommunications, Utilities and Energy",no,Jeffrey N. Roy,,telecommunications,,https://malegislature.gov/Bills/193/H4378
H4406,,An Act establishing a task force on the use of deepfake and digital content forgery,no,"Joint Committee on Advanced Information Technology, the Internet and Cybersecurity",,digital;deepfake,J33,https://malegislature.gov/Bills/193/H4406
H4411,,"An Act relating to patient cost, benefit and coverage information, choice, and price transparency",no,Joint Committee on Financial Services,,information,,https://malegislature.gov/Bills/193/H4411
H4421,,An Act establishing an education-to-career data center,no,Joint Committee on Education,,data,,https://malegislature.gov/Bills/193/H4421
H4456,HD4863,An Act relative to financial technology services,no,Mark J. Cusack,,technology,,https://malegislature.gov/Bills/193/H4456
H4538,HD5029,"Extension Order - Telecommunications, Utilities and Energy",no,Jeffrey N. Roy,,telecommunications,,https://malegislature.gov/Bills/193/H4538
H4571,HD5070,Extension Order - Consumer Protection and Professional Licensure,no,Tackey Chan,,consumer_protection,,https://malegislature.gov/Bills/193/H4571
H4578,,Study Order,no,"Joint Committee on Advanced Information Technology, the Internet and Cybersecurity",,,J33,https://malegislature.gov/Bills/193/H4578
H459,HD3522,An Act relative to creating statutes relating to requiring school boards to make information about learning materials and educational activities used for pupil instruction available to the public,no,David F. DeCoste,,information,,https://malegislature.gov/Bills/193/H459
H4631,,An Act to modernize funding for community media programming,no,"Joint Committee on Advanced Information Technology, the Internet and Cybersecurity",,,J33,https://malegislature.gov/Bills/193/H4631
H4642,,An Act to provide for the future information technology needs of Massachusetts.,no,House Committee on Ways and Means,,information;technology,,https://malegislature.gov/Bills/193/H4642
H4648,,An Act to provide for the future information technology needs of Massachusetts.,no,,,information;technology,,https://malegislature.gov/Bills/193/H4648
H4650,HD5097,"An Act allowing ""print free"" digital legal notices for the town of Lexington",no,Michelle L. Ciccolo,,digital,,https://malegislature.gov/Bills/193/H4650
H4664,HD5101,"An Act allowing ""print-free"" digital legal notices for the town of Lincoln",no,Alice Hanlon Peisch,,digital,,https://malegislature.gov/Bills/193/H4664
H4776,HD5205,"Extension Order - Telecommunications, Utilities and Energy",no,Jeffrey N. Roy,,telecommunications,,https://malegislature.gov/Bills/193/H4776
H4798,HD5223,Extension Order - Consumer Protection and Professional Licensure,no,Tackey Chan,,consumer_protection,,https://malegislature.gov/Bills/193/H4798
H4802,,An Act addressing challenges facing public libraries and digital resource collections,no,"Joint Committee on Tourism, Arts and Cultural Development",,digital,,https://malegislature.gov/Bills/193/H4802
H4832,,An Act relative to civil rights and technology,no,Joint Committee on the Judiciary,,technology,,https://malegislature.gov/Bills/193/H4832
H4838,,An Act relative to airplane noise data collection and Good Neighbor Policy,no,Joint Committee on Transportation,,data,,https://malegislature.gov/Bills/193/H4838
H4889,,An Act to provide for the future information technology needs of Massachusetts,no,Future Information Technology Needs,,information;technology,,https://malegislature.gov/Bills/193/H4889
H4955,HD5288,Extension Order - Consumer Protection and Professional Licensure,no,Tackey Chan,,consumer_protection,,https://malegislature.gov/Bills/193/H4955
H4961,HD5294,Extension Order - Consumer Protection and Professional Licensure,no,Tackey Chan,,consumer_protection,,https://malegislature.gov/Bills/193/H4961
H530,HD3666,An Act establishing an education-to-career data center,no,Kate Lipper-Garabedian,,data,,https://malegislature.gov/Bills/193/H530
H59,HD1983,An Act relative to the oversight of cable contracts,no,"John Barrett, III",,,J33,https://malegislature.gov/Bills/193/H59
H61,HD2792,An Act relative to filing slander against anonymous parties on the internet,no,Tackey Chan,,internet,J33,https://malegislature.gov/Bills/193/H61
H62,HD2777,An Act establishing the Massachusetts open data standard,no,Dylan A. Fernandes,,data,J33,https://malegislature.gov/Bills/193/H62
H64,HD2261,An Act establishing a commission on automated decision-making by government in the Commonwealth,no,Sean Garballey,,,J33,https://malegislature.gov/Bills/193/H64
H65,HD3013,An Act relative to efficient access to the affordable connectivity program,no,Carlos González,,,J33,https://malegislature.gov/Bills/193/H65
H659,HD573,An Act relative to candidate information on ballots,no,Natalie M. Blais,,information,,https://malegislature.gov/Bills/193/H659
H66,HD1741,An Act relative to cyberattack response in Massachusetts,no,"Bradley H. Jones, Jr.",,,J33,https://malegislature.gov/Bills/193/H66
H67,HD2047,An Act creating a task force to study the use of the internet by sex offenders,no,"Bradley H. Jones, Jr.",,internet,J33,https://malegislature.gov/Bills/193/H67
H678,HD3516,An Act relative to random placement for candidate names and removal of incumbent information on primary and state ballots,no,Mindy Domb,,information,,https://malegislature.gov/Bills/193/H678
H68,HD248,An Act relative to internet service outages,no,David Henry Argosky LeBoeuf,,internet,J33,https://malegislature.gov/Bills/193/H68
H69,HD2256,An Act establishing a special commission on blockchain and cryptocurrency,no,Kate Lipper-Garabedian,,,J33,https://malegislature.gov/Bills/193/H69
H70,HD3962,An Act providing for consumer protection in a digital economy,no,Kate Lipper-Garabedian,,digital;consumer_protection,J33,https://malegislature.gov/Bills/193/H70
H704,HD193,An Act relative to honest online political advertisement disclosure and election interference,no,David Henry Argosky LeBoeuf,,online,,https://malegislature.gov/Bills/193/H704
H71,HD3960,An Act creating a pilot program to explore digital innovation in government,no,Kate Lipper-Garabedian,,digital,J33,https://malegislature.gov/Bills/193/H71
H72,HD2298,An Act to protect against deep fakes used to facilitate criminal or torturous conduct,no,Jay D. Livingstone,,deepfake,J33,https://malegislature.gov/Bills/193/H72
H728,HD2073,An Act relative to public information requests,no,Marcus S. Vaughn,,information,,https://malegislature.gov/Bills/193/H728
H74,HD215,An Act to modernize funding for community media programming,no,Joan Meschino,,,J33,https://malegislature.gov/Bills/193/H74
H75,HD464,An Act creating the Massachusetts digital equity broadband adoption program,no,Frank A. Moran,,digital,J33,https://malegislature.gov/Bills/193/H75
H77,HD296,An Act relative to the Office of Information Technology considering cloud computing service options under certain circumstances,no,"Angelo J. Puppolo, Jr.",,information;technology,J33,https://malegislature.gov/Bills/193/H77
H78,HD2987,An Act relative to assuring a jumpstart in investments in telecoms to preserve access to the internet,no,David Allen Robertson,,internet,J33,https://malegislature.gov/Bills/193/H78
H79,HD1985,An Act relative to providing for net neutrality and consumer protection,no,David M. Rogers,,consumer_protection,J33,https://malegislature.gov/Bills/193/H79
H81,HD1003,An Act establishing free broadband internet access in public housing,no,Danillo A. Sena,,internet,J33,https://malegislature.gov/Bills/193/H81
H82,HD260,An Act relative to protecting the residents of the Commonwealth,no,Michael J. Soter,,,J33,https://malegislature.gov/Bills/193/H82
H84,HD1079,An Act relative to electronic security for the Commonwealth,no,Marcus S. Vaughn,,electronic,J33,https://malegislature.gov/Bills/193/H84
H85,HD661,An Act internet access on private ways,no,David T. Vieira,,internet,J33,https://malegislature.gov/Bills/193/H85
H86,HD3197,"Resolve establishing a special commission to review advancements in educational technology, digital/online learning and related programs",no,Thomas P. Walsh,,digital;online;technology,J33,https://malegislature.gov/Bills/193/H86
H871,HD2731,"An Act to require producer responsibility for collection, reuse and recycling of discarded electronic products",no,Steven Owens,,electronic,,https://malegislature.gov/Bills/193/H871
H933,HD1199,An Act providing mortgage customers additional mandatory information regarding their accounts,no,Bruce J. Ayers,,information,,https://malegislature.gov/Bills/193/H933
H954,HD1603,"An Act protecting the use of bank names, trade names and trademarks in electronic communications",no,Daniel Cahill,,electronic,,https://malegislature.gov/Bills/193/H954
H972,HD1633,An Act to require financial institutions to pay late fees when it fails to conduct an electronic transfer,no,Tackey Chan,,electronic,,https://malegislature.gov/Bills/193/H972
H986,HD3511,An Act relative to telehealth and digital equity for patients,no,Marjorie C. Decker,,digital,,https://malegislature.gov/Bills/193/H986
H994,HD3984,An Act to increase access and transparency of health insurance data,no,Mindy Domb,,data,,https://malegislature.gov/Bills/193/H994
S1106,SD881,An Act specifying an electronic system to ensure that sales of certain products containing pseudoephedrine (PSE) do not exceed limits established under federal law,no,Pavel Payano,,electronic,,https://malegislature.gov/Bills/193/S1106
S1111,SD1328,An Act relative to civil asset forfeiture transparency and data reporting,no,Rebecca L. Rausch,,data,,https://malegislature.gov/Bills/193/S1111
S1115,SD2280,An Act to protect the free flow of information in Massachusetts,no,Rebecca L. Rausch,,information,,https://malegislature.gov/Bills/193/S1115
S1137,SD953,An Act relative to legal advertisements in online-only newspapers,no,John C. Velis,,online,,https://malegislature.gov/Bills/193/S1137
S1144,SD1542,An Act regulating the use of credit reports by employers,no,Michael J. Barrett,,credit_reporting,,https://malegislature.gov/Bills/193/S1144
S1187,SD954,An Act to make data on workforce development outcomes public and accessible,no,Patricia D. Jehlen,,data,,https://malegislature.gov/Bills/193/S1187
S1378,SD2205,An Act regarding death certificates online,no,Anne M. Gobi,,online,,https://malegislature.gov/Bills/193/S1378
S1386,SD1887,An Act relative to the determination of need of new technology,no,John F. Keenan,,technology,,https://malegislature.gov/Bills/193/S1386
S142,SD793,An Act relative to digital right to repair,no,Michael D. Brady,,digital;right_to_repair,,https://malegislature.gov/Bills/193/S142
S1433,SD2060,An Act relative to stroke data reporting,no,Michael O. Moore,,data,,https://malegislature.gov/Bills/193/S1433
S1470,SD621,An Act relative to personal health information portability and accessibility,no,Bruce E. Tarr,,information,,https://malegislature.gov/Bills/193/S1470
S1492,SD659,An Act relative to crime gun data reporting and analysis,no,Cynthia Stone Creem,,data,,https://malegislature.gov/Bills/193/S1492
S150,SD619,An Act relative to consumer protection on online automobile franchise transactions,no,Brendan P. Crighton,,online;consumer_protection,,https://malegislature.gov/Bills/193/S150
S1557,SD1513,An Act relative to the use of unmanned aerial systems,no,Michael O. Moore,,drones,,https://malegislature.gov/Bills/193/S1557
S156,SD227,An Act relative to the safe use of electronic devices by children,no,Julian Cyr,,electronic,,https://malegislature.gov/Bills/193/S156
S1567,SD1901,Resolve establishing a special commission to study technology to monitor and protect individuals in law enforcement custody,no,Michael O. Moore,,technology,,https://malegislature.gov/Bills/193/S1567
S170,SD1791,An Act establishing an online lottery,no,Paul R. Feeney,,online,,https://malegislature.gov/Bills/193/S170
S184,SD2118,An Act relative to consumer health data,no,Robyn K. Kennedy,,data,,https://malegislature.gov/Bills/193/S184
S1846,SD1439,An Act establishing a tax on local revenues from digital advertising,no,Patricia D. Jehlen,,digital,,https://malegislature.gov/Bills/193/S1846
S1877,SD2132,An Act clarifying occupancy excise and internet hotel room resellers,no,Mark C. Montigny,,internet,,https://malegislature.gov/Bills/193/S1877
S193,SD2162,An Act to protect life-saving electronic health records from reckless corporate greed and corruption,no,Mark C. Montigny,,electronic,,https://malegislature.gov/Bills/193/S193
S1958,SD1199,An Act relative to qualified data centers in the Commonwealth,no,John C. Velis,,data,,https://malegislature.gov/Bills/193/S1958
S198,SD1515,An Act protecting personal identifying information,no,Michael O. Moore,,information,J33,https://malegislature.gov/Bills/193/S198
S2060,SD364,An Act regarding information governance,no,Rebecca L. Rausch,,information,,https://malegislature.gov/Bills/193/S2060
S2188,SD69,An Act modernizing library access to electronic books and digital audiobooks,no,Anne M. Gobi,,electronic;digital,,https://malegislature.gov/Bills/193/S2188
S2210,SD464,An Act relative to increasing operational safety for keyless ignition technology in motor vehicles,no,Brendan P. Crighton,,technology,,https://malegislature.gov/Bills/193/S2210
S2235,SD2289,An Act to remediate and reopen the visitor information center on I-95 in Northern Bristol County for traveler safety and convenience and to promote regional tourism and economic development,no,Paul R. Feeney,,information,,https://malegislature.gov/Bills/193/S2235
S2261,SD1159,An Act relative to online driver education,no,Joan B. Lovely,,online,,https://malegislature.gov/Bills/193/S2261
S2308,SD2304,An Act relative to unmanned aerial vehicles in the Commonwealth,no,John C. Velis,,drones,,https://malegislature.gov/Bills/193/S2308
S2367,SD2241,An Act relative to third party delivery data reporting,no,Brendan P. Crighton,,data,,https://malegislature.gov/Bills/193/S2367
S2478,,An Act relative to digital right to repair,no,Joint Committee on Consumer Protection and Professional Licensure,,digital;right_to_repair,,https://malegislature.gov/Bills/193/S2478
S26,SD805,An Act relative to the modernization of state agency information technology systems,no,Brendan P. Crighton,,information;technology,J33,https://malegislature.gov/Bills/193/S26
S2620,SD3002,"Telecommunications, Utilities, and Energy - Extension Order",no,Michael J. Barrett,,telecommunications,,https://malegislature.gov/Bills/193/S2620
S2630,,"Order relative to authorizing the joint committee on Consumer Protection and Professional Licensure, to make an investigation and study of certain current Senate documents relative to consumer protection and professional licensure matters",no,Joint Committee on Consumer Protection and Professional Licensure,,consumer_protection,,https://malegislature.gov/Bills/193/S2630
S2637,,"An Act relating to patient cost, benefit and coverage information, choice, and price transparency",no,Joint Committee on Financial Services,,information,,https://malegislature.gov/Bills/193/S2637
S2666,,An Act establishing an education-to-career data center,no,Joint Committee on Education,,data,,https://malegislature.gov/Bills/193/S2666
S27,SD1217,"An Act to protect private electronic communication, browsing and other activity",no,James B. Eldridge,,electronic,J33,https://malegislature.gov/Bills/193/S27
S2718,SD3146,"Telecommunications, Utilities and Energy - Extension Order",no,Michael J. Barrett,,telecommunications,,https://malegislature.gov/Bills/193/S2718
S2719,,"Order relative to authorizing the joint committee on Telecommunications, Utilities and Energy to make an investigation and study of certain current Senate documents relative to matters of telecommunications, utilities and energy.",no,"Joint Committee on Telecommunications, Utilities and Energy",,telecommunications,,https://malegislature.gov/Bills/193/S2719
S2730,SD2932,An Act relative to deceptive and fraudulent deepfakes in election communications,no,Barry R. Finegold,,deepfake,J33,https://malegislature.gov/Bills/193/S2730
S275,SD1703,An Act relative to licensed care and financial resource information for parents of newborns,no,Paul R. Feeney,,information,,https://malegislature.gov/Bills/193/S275
S2771,,An Act to modernize funding for community media programming,no,"Joint Committee on Advanced Information Technology, the Internet and Cybersecurity",,,J33,https://malegislature.gov/Bills/193/S2771
S28,SD2028,An Act to ensure a free and open internet in the commonwealth,no,James B. Eldridge,,internet,J33,https://malegislature.gov/Bills/193/S28
S2806,,An Act to provide for the future information technology needs of Massachusetts.,no,Senate Committee on Ways and Means,,information;technology,,https://malegislature.gov/Bills/193/S2806
S2810,SD2985,An Act relative to fusion investment and research for sustainable technology to be known as the FIRST Act,no,Susan L. Moran,,technology,,https://malegislature.gov/Bills/193/S2810
S2814,,An Act to provide for the future information technology needs of Massachusetts,no,,,information;technology,,https://malegislature.gov/Bills/193/S2814
S2831,,An Act relative to disinformation in elections,no,"Joint Committee on Advanced Information Technology, the Internet and Cybersecurity",,,J33,https://malegislature.gov/Bills/193/S2831
S2832,SD3303,"Telecommunications, Utilities, and Energy - Extension Order",no,Michael J. Barrett,,telecommunications,,https://malegislature.gov/Bills/193/S2832
S29,SD1301,An Act establishing a special commission on blockchain and cryptocurrency,no,Barry R. Finegold,,,J33,https://malegislature.gov/Bills/193/S29
S2907,,"Order relative to authorizing the joint committee on Consumer Protection and Professional Licensure, to make an investigation and study of a certain current Senate document relative to online lottery",no,Joint Committee on Consumer Protection and Professional Licensure,,online;consumer_protection,,https://malegislature.gov/Bills/193/S2907
S293,SD946,An Act relative to student assessment data,no,Patricia D. Jehlen,,data,,https://malegislature.gov/Bills/193/S293
S31,SD1827,An Act drafted with the help of ChatGPT to regulate generative artificial intelligence models like ChatGPT,no,Barry R. Finegold,,artificial_intelligence,J33,https://malegislature.gov/Bills/193/S31
S32,SD2404,An Act relative to cyber incident response,no,Barry R. Finegold,,,J33,https://malegislature.gov/Bills/193/S32
S33,SD996,An Act establishing a commission on automated decision-making by government in the commonwealth,no,Jason M. Lewis,,,J33,https://malegislature.gov/Bills/193/S33
S34,SD1343,An Act to modernize funding for community media programming,no,Jason M. Lewis,,,J33,https://malegislature.gov/Bills/193/S34
S343,SD2288,An Act establishing an education-to-career data center,no,Pavel Payano,,data,,https://malegislature.gov/Bills/193/S343
S35,SD1955,An Act protecting against cyber ransom,no,Paul W. Mark,,,J33,https://malegislature.gov/Bills/193/S35
S37,SD1992,An Act relative to protecting the residents of the Commonwealth,no,Patrick M. O'Connor,,,J33,https://malegislature.gov/Bills/193/S37
S38,SD1346,"Resolve establishing a special commission to review advancements in educational technology, digital/online learning and related programs in order to provide the Commonwealth with the most current research and information",no,Walter F. Timilty,,information;digital;online;technology,J33,https://malegislature.gov/Bills/193/S38
S419,SD2011,An Act establishing an early electronic voting option for municipal elections,no,Barry R. Finegold,,electronic,,https://malegislature.gov/Bills/193/S419
S46,SD1719,An Act relative to the Farm Technology Review Commission,no,Susan L. Moran,,technology,,https://malegislature.gov/Bills/193/S46
S554,SD1031,"An Act to require producer responsibility for collection, reuse and recycling of discarded electronic products",no,Jacob R. Oliveira,,electronic,,https://malegislature.gov/Bills/193/S554
S616,SD375,"An Act relating to patient cost, benefit and coverage information, choice, and price transparency",no,Julian Cyr,,information,,https://malegislature.gov/Bills/193/S616
S62,SD780,An Act relative to data transparency in the cannabis industry,no,John C. Velis,,data,,https://malegislature.gov/Bills/193/S62
S63,SD1434,An Act to require closed captioning in telecommunications in public areas,no,Michael J. Barrett,,telecommunications,,https://malegislature.gov/Bills/193/S63
S655,SD1984,An Act relative to telehealth and digital equity for patients,no,Adam Gomez,,digital,,https://malegislature.gov/Bills/193/S655
S743,SD1586,An Act to ensure uniform and transparent reporting of medical debt data,no,Lydia Edwards,,data,,https://malegislature.gov/Bills/193/S743
S78,SD2015,An Act updating the juvenile justice policy and data board,no,Sal N. DiDomenico,,data,,https://malegislature.gov/Bills/193/S78
S80,SD2076,An Act creating an electronic backpack for foster children’s educational records,no,Ryan C. Fattman,,electronic,,https://malegislature.gov/Bills/193/S80
S801,SD1600,An Act strengthening health spending accountability processes within the health policy commission and the center for health information and analysis,no,Rebecca L. Rausch,,information,,https://malegislature.gov/Bills/193/S801
S81,SD1146,An Act requiring licensure for use of graduated electronic decelerators,no,Paul R. Feeney,,electronic,,https://malegislature.gov/Bills/193/S81
S844,SD343,An Act protecting public higher education student information,no,Jacob R. Oliveira,,information,,https://malegislature.gov/Bills/193/S844
S865,SD1742,An Act improving municipal access to general existing housing data,no,Sal N. DiDomenico,,data,,https://malegislature.gov/Bills/193/S865
S87,SD190,An Act providing for coordinated data and assistance to address family homelessness,no,Adam Gomez,,data,,https://malegislature.gov/Bills/193/S87
S877,SD588,An Act relative to the use of credit reporting in housing,no,Adam Gomez,,credit_reporting,,https://malegislature.gov/Bills/193/S877
S900,SD1534,An Act relative to electronic meetings and voting in condominiums,no,Rebecca L. Rausch,,electronic,,https://malegislature.gov/Bills/193/S900
S930,SD802,An Act relative to access to a decedent's electronic mail accounts,no,Cynthia Stone Creem,,electronic,,https://malegislature.gov/Bills/193/S930
S931,SD815,An Act improving juvenile justice data collection,no,Cynthia Stone Creem,,data,,https://malegislature.gov/Bills/193/S931
S974,SD1822,An Act relative to fiduciary access to digital assets,no,Barry R. Finegold,,digital,,https://malegislature.gov/Bills/193/S974
