bill_number,docket_number,title,docket_only,primary_sponsor,domain_title_terms,broad_title_terms,committee_net,url
,HD4791,A communication from the Executive Office of Public Safety and Security (see item 8900-0001 of Chapter 28 of the Acts of 2023) submitting the third quarter data report of the Department of Correction for fiscal year 2023,no,Department of Correction,,data,,
,SD2957,Communication from the Department of Correction (pursuant to item 8900-0001 of Section 2 of Chapter 28 of the Acts of 2023) submitting its quarterly corrections data report for the third quarter of calendar year 2023,no,Department of Correction,,data,,
,HD4796,A report of the Massachusetts District Attorneys Association (under item 0340-2100 of Section 2 of Chapter 28 of the Acts of 2023) submitting its data from the District Attorneys relative to their criminal prosecutions and workloads for calendar year 2023,no,Massachusetts District Attorneys Association,,data,,
,HD4798,A quarterly report of the Sheriff’s Department of Plymouth County (under Section 40 of Chapter 126 of the General Laws) submitting the aggregate data on the population of the Plymouth County Correctional Facility for the fourth quarter of calendar year 2023,no,Plymouth County Sheriff,,data,,
,HD4841,A communication from the Center for Health Information and Analysis (see Section 24 of Chapter 12C of the General Laws) submitting its continuous skilled nursing (CSN) care biennial report,no,Center for Health Information and Analysis,,information,,
,HD4915,"A communication from the Cape Cod Regional Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting financial statements, supplementary information, and a schedule of expenditures of federal awards and OMB uniform guidance auditors’ reports for fiscal year ending June 30, 2023",no,Cape Cod Regional Transit Authority,,information,,
,HD4916,"A communication from the Nantucket Regional Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting financial statements, supplementary information, and a schedule of expenditures of federal awards and OMB uniform guidance auditors’ reports for fiscal year ending June 30, 2023 and 2022",no,Nantucket Regional Transit Authority,,information,,
,HD4929,A communication from the Massachusetts Department of Transportation (see Section 6C of Chapter 25 of the General Laws) submitting its annual report of the project information system and performance measurement report for calendar year 2023,no,Department of Transportation,,information,,
,HD4947,A communication from the Executive Office of Technology Services and Security (see item 1790-0100 of Section 2 of Chapter 28 of the Acts of 2023) submitting its annual report on data collection and reporting in the criminal justice system,no,Executive Office of Technology Services & Security,,data;technology,,
,SD3083,EOLWD Online Delivery System for UI Benefits 9th Report,no,Executive Office of Labor and Workforce Development,,online,,
,HD4995,A report of the Massachusetts District Attorneys Association (under item 0340-2100 of Section 2 of Chapter 28 of the Acts of 2023) submitting Disabled Persons Protection Commission data for fiscal year 2023,no,Massachusetts District Attorneys Association,,data,,
,HD4997,A quarterly report of the Executive Office of Labor and Workforce Development (under item 1790-3009 of Section 2 of Chapter 151 of the Acts of 2020) submitting its ninth quarterly report relative to the comprehensive modernization and transformation for the deployment of an online delivery system for unemployment insurance compensation benefits,no,Executive Office of Labor and Workforce Development,,online,,
,HD5016,A communication from the Massachusetts Technology Transfer Center (Mass Ventures) (see Section 45B of Chapter 75 of the General Laws) submitting the Acorn Innovation Fund Report for fiscal year 2024,no,Massachusetts Technology Transfer Center,,technology,,
,SD3136,Communication from the Department of Correction (pursuant to item 8900-0001 of Section 2 of Chapter 28 of the Acts of 2023) submitting its quarterly corrections data report for the fourth quarter of calendar year 2023,no,Department of Correction,,data,,
,HD5032,A communication from the Executive Office of Public Safety and Security (see item 8900-0001 Section 2 of Chapter 28 of the Acts of 2023) submitting the fourth quarter data report of the Department of Correction for calendar year 2023,no,Executive Office of Public Safety and Security,,data,,
,HD5037,"A communication from the Merrimack Valley Regional Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting financial statements, supplementary information, and a schedule of expenditures of federal awards and OMB uniform guidance auditors’ reports for fiscal year 2023",no,Merrimack Valley Regional Transit Authority,,information,,
,HD5038,A quarterly report of the Sheriff’s Department of Plymouth County (under Section 40 of Chapter 126 of the General Laws) submitting the aggregate data on the population of the Plymouth County Correctional Facility for the first quarter of calendar year 2024,no,Plymouth County Sheriff,,data,,
,SD3235,Communication from the Department of Economic Research relative to its May 2024 Unemployment Insurance Trust Fund data,no,Department of Economic Research,,data,,
,HD5115,"A communication from the Greater Attleboro-Taunton Regional Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting financial statements, supplementary information, and a schedule of expenditures of federal awards and OMB uniform guidance auditors’ reports for fiscal year 2023",no,Greater Attleboro-Taunton Regional Transit Authority,,information,,
,HD5141,"A communication from the Office of the Bristol County Registry of Deeds, Southern District (see Section 2KKK of Chapter 29 of the General Laws) submitting the County Registers Technology Fund request for funds [copies of the communication were forwarded to the committee on Ways and Means and the committee on Post Audit and Oversight, as required by said law]",no,Bristol County Registry of Deeds,,technology,,
,HD5163,A communication from the Executive Office of Health and Human Services (see Section 15 of Chapter 118I of the General Laws) submitting the annual report of the Health Information Technology Council for the calendar year 2023,no,Executive Office of Health and Human Services,,information;technology,,
,SD3265,Order relative to procedures to be followed when considering the House Bill to provide for the future information technology needs of Massachusetts,no,Michael J. Rodrigues,,information;technology,,
,HD5176,"A communication from the Barnstable County Registry of Deeds (see Section 2KKK of Chapter 29 of the General Laws) submitting the County Registers Technology Fund plan for expenditure of funds [copies of the communication were forwarded to the committees on Ways and Means and Post Audit and Oversight, as required by said law]",no,Barnstable County Registry of Deeds,,technology,,
,HD5187,The annual report of the MetroWest Regional Transit Authority (under Section 8(g) of Chapter 161B of the General Laws) submitting financial statements and supplementary information for fiscal year 2023,no,MetroWest Regional Transit Authority,,information,,
,HD5195,A communication from the Massachusetts Gaming Commission submitting its 2023 annual report (see S2824 for electronic copy),no,Massachusetts Gaming Commission,,electronic,,
,HD5214,"A communication from the State Retiree Benefits Trust (“HST”) Board (see Section 24(f) of Chapter 32A of the General Laws) submitting the approved budget for said board for fiscal year 2025 [a copy of the communication was forwarded to the committee on Public Service, for their information]",no,State Retiree Benefits Trust Fund Board of Trustees,,information,,
,HD5260,A quarterly report of the Sheriff’s Department of Plymouth County (under Section 40 of Chapter 126 of the General Laws) submitting the aggregate data on the population of the Plymouth County Correctional Facility for the second quarter of calendar year 2024,no,Plymouth County Sheriff,,data,,
,HD5266,A communication from the Justice Reinvestment Policy Oversight Board (see Section 11 of Chapter 7D of the General Laws) submitting the annual report on the collection of data and the compliance with justice reinvestment policies for fiscal year 2024,no,Justice Reinvestment Policy Oversight Board,,data,,
,HD5376,"A statement of available resources and expenditures - statutory basis and supplementary information regarding the House of Representatives for the Fiscal Year ended June 30, 2022",no,CliftonAllenLarson LLP,,information,,
,HD5383,"A statement of available resources and expenditures - statutory basis - and supplementary information regarding the joint accounts of the General Court for the Fiscal Year ended June 30, 2022",no,CliftonAllenLarson LLP,,information,,
,HD5411,"A communication from the Berkshire Regional Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting its financial statements and supplementary information for fiscal years ending June 30, 2023, and June 30, 2024",no,Berkshire Regional Transit Authority,,information,,
,HD5412,"A communication from the Berkshire Regional Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting financial statements, supplementary information, and a schedule of expenditures of federal awards and OMB uniform guidance auditors’ reports for fiscal year ending June 30, 2024",no,Berkshire Regional Transit Authority,,information,,
,HD5413,"A communication from the Franklin Regional Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting its financial statements and supplementary information for fiscal years ending June 30, 2023, and June 30, 2024",no,Franklin Regional Transit Authority,,information,,
,HD5414,"A communication from Franklin Regional Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting financial statements, supplementary information, and a schedule of expenditures of federal awards and OMB uniform guidance auditors’ reports for fiscal year ending June 30, 2024",no,Franklin Regional Transit Authority,,information,,
,HD5418,A quarterly report of the Sheriff’s Department of Plymouth County (under Section 40 of Chapter 126 of the General Laws) submitting the aggregate data on the population of the Plymouth County Correctional Facility for the third quarter of calendar year 2024,no,Plymouth County Sheriff,,data,,
,HD5439,"A communication from the Department of Energy Resources (see Section 10 of Chapter 25B of the General Laws) of the effectiveness of energy efficiency in the Commonwealth [a copy of the report was forwarded to the committee on Telecommunications, Utilities and Energy, as required by said law]",no,Department of Energy Resources,,telecommunications,,
,HD5450,A communication from the Massachusetts Technology Development Corporation (Mass Ventures) (see Section 6 of Chapter 40G of the General Laws) submitting financial statements for fiscal year 2024,no,Massachusetts Technology Development Corporation,,technology,,
,HD5479,"A communication from the Pioneer Valley Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting its financial statements and supplementary information for fiscal years ending June 30, 2023, and June 30, 2024",no,Pioneer Valley Transit Authority,,information,,
,HD5480,"A communication from the Pioneer Valley Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting financial statements, supplementary information, and a schedule of expenditures of federal awards and OMB uniform guidance auditors’ reports for fiscal year ending June 30, 2024",no,Pioneer Valley Transit Authority,,information,,
,SD3520,Department of Telecommunications and Cable FY24 Annual Report,no,Department of Telecommunications and Cable,,telecommunications,,
,HD5489,A communication from the Department of Telecommunications and Cable (see Section 6 of Chapter 25C of the General Laws) submitting its annual report for fiscal year 2024,no,Department of Telecommunications and Cable,,telecommunications,,
,SD3555,Communication from the Executive Office of Public Safety and Security relative to the appointment of Jeff Farnsworth (pursuant to Chapter 135 of the Acts of 2024) to the Special Commission on Emerging Firearms Technology,no,Executive Office of Public Safety and Security,,technology,,
,HD5525,"A communication from the Martha’s Vineyard Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting its financial statements and supplementary information for fiscal years ending June 30, 2023, and June 30, 2024",no,Martha's Vineyard Regional Transit Authority,,information,,
,HD5526,"A communication from the Martha’s Vineyard Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting financial statements, supplementary information, and a schedule of expenditures of federal awards and OMB uniform guidance auditors’ reports for fiscal year ending June 30, 2024",no,Martha's Vineyard Regional Transit Authority,,information,,
,SD3590,FY23 Charter School Data Annual Report,no,Department of Elementary and Secondary Education,,data,,
,SD3591,FY24 Charter School Data Annual Report,no,Department of Elementary and Secondary Education,,data,,
,HD5563,A communication from the Department of Elementary and Secondary Education (see Section 89(kk) of Chapter 71 of the General Laws) submitting the Charter School Data annual report for fiscal year 2024,no,Department of Elementary and Secondary Education,,data,,
