bill,furthest_stage,terminal_class,terminal_ref,roll_calls,last_recorded_action,history_url
H4421,reported_favorably,died_no_further_action,,,2024-02-26 Bill reported favorably by committee and referred to the committee on House Ways and Means,https://malegislature.gov/Bills/193/H4421
H4632,reported_favorably,died_no_further_action,,,2024-05-13 Bill reported favorably by committee and referred to the committee on House Ways and Means,https://malegislature.gov/Bills/193/H4632
H4744,enacted,enacted,"Signed by the Governor, Chapter 118 of the Acts of 2024","2024-06-12 Committee of conference report accepted - 156 YEAS to 0 NAYS (See YEA and NAY No; 2024-06-13 Committee of conference report accepted, in concurrence -see Roll Call #179 (Yea; 2024-06-13 Enacted - 152 YEAS to 0 NAYS (See YEA and NAY No. 121)","2024-06-20 Signed by the Governor, Chapter 118 of the Acts of 2024",https://malegislature.gov/Bills/193/H4744
H4799,enacted,enacted,"Signed by the Governor, Chapter 206 of the Acts of 2024",2024-06-26 Passed to be engrossed - 153 YEAS to 1 NAYS (See YEA and NAY No. 126); 2024-07-24 Passed to be engrossed -see Roll Call #219 (Yeas 38 to Nays 1),"2024-09-16 Signed by the Governor, Chapter 206 of the Acts of 2024",https://malegislature.gov/Bills/193/H4799
H4844,in_second_branch,died_no_further_action,,2024-07-10 Passed to be engrossed -,2024-08-05 Read; and referred to the committee on Senate Ways and Means,https://malegislature.gov/Bills/193/H4844
H4977,enacted,enacted,"Signed by the Governor, Chapter 150 of the Acts of 2024",2024-08-01 Enacted - 128 YEAS to 24 NAYS (See YEA and NAY No. 199); 2024-08-01 Enacted -see Roll Call #249 (Yeas 37 to Nays 2),"2024-08-06 Signed by the Governor, Chapter 150 of the Acts of 2024",https://malegislature.gov/Bills/193/H4977
H5077,enacted,enacted,"Signed by the Governor, Chapter 248 of the Acts of 2024",,"2024-12-04 Signed by the Governor, Chapter 248 of the Acts of 2024",https://malegislature.gov/Bills/193/H5077
H530,heard,superseded_by_redraft,H4421,,"2024-02-26 Accompanied a new draft, see H4421",https://malegislature.gov/Bills/193/H530
H532,reported_favorably,died_no_further_action,,,2024-02-20 Bill reported favorably by committee and referred to the committee on House Ways and Means,https://malegislature.gov/Bills/193/H532
H58,enacted,enacted,"Signed by the Governor, Chapter 2 of the Acts of 2023",2023-03-01 Passed to be engrossed - 153 YEAS to 0 NAYS (See YEA and NAY No. 11); 2023-03-09 Passed to be engrossed -see Roll Call #14 (Yeas 40 to Nays 0); 2023-03-23 Enacted - 153 YEAS to 0 NAYS (See YEA and NAY No. 13); 2023-03-23 Enacted -see Roll Call #15 (Yeas 39 to Nays 0),"2023-03-29 Signed by the Governor, Chapter 2 of the Acts of 2023",https://malegislature.gov/Bills/193/H58
H60,reporting_extended,superseded_by_redraft,H4632,,"2024-05-13 Accompanied a new draft, see H4632",https://malegislature.gov/Bills/193/H60
H63,reporting_extended,superseded_by_redraft,H4632,,"2024-05-13 Accompanied a new draft, see H4632",https://malegislature.gov/Bills/193/H63
H637,heard,superseded_by_redraft,S2604,,"2024-02-29 Accompanied a new draft, see S2604",https://malegislature.gov/Bills/193/H637
H76,referred,superseded_by_redraft,S2539,,"2023-12-28 Accompanied a new draft, see S2539",https://malegislature.gov/Bills/193/H76
H80,reporting_extended,superseded_by_redraft,H4632,,"2024-05-13 Accompanied a new draft, see H4632",https://malegislature.gov/Bills/193/H80
H83,reporting_extended,superseded_by_redraft,H4632,,"2024-05-13 Accompanied a new draft, see H4632",https://malegislature.gov/Bills/193/H83
S1012,heard,superseded_by_redraft,H4115,,"2023-10-10 Accompanied a new draft, see H4115",https://malegislature.gov/Bills/193/S1012
S1013,heard,sent_to_study,S2612,,"2024-02-08 Accompanied a study order, see S2612",https://malegislature.gov/Bills/193/S1013
S1022,heard,superseded_by_redraft,H4323,,"2024-02-08 Accompanied a new draft, see H4323",https://malegislature.gov/Bills/193/S1022
S1116,heard,sent_to_study,S2612,,"2024-02-08 Accompanied a study order, see S2612",https://malegislature.gov/Bills/193/S1116
S1133,heard,sent_to_study,S2612,,"2024-02-08 Accompanied a study order, see S2612",https://malegislature.gov/Bills/193/S1133
S1139,heard,superseded_by_redraft,H4115,,"2023-10-10 Accompanied a new draft, see H4115",https://malegislature.gov/Bills/193/S1139
S1228,heard,sent_to_study,S2633,,"2024-02-12 Accompanied a study order, see S2633",https://malegislature.gov/Bills/193/S1228
S1368,heard,sent_to_study,S2648,,"2024-02-15 Accompanied a study order, see S2648",https://malegislature.gov/Bills/193/S1368
S140,reporting_extended,died_no_further_action,,,"2024-08-05 Reporting date extended to Tuesday December 31, 2024, pending concurrence",https://malegislature.gov/Bills/193/S140
S148,reporting_extended,died_no_further_action,,,"2024-08-05 Reporting date extended to Tuesday December 31, 2024, pending concurrence",https://malegislature.gov/Bills/193/S148
S1483,reporting_extended,sent_to_study,S2777,,"2024-05-13 Accompanied a study order, see S2777",https://malegislature.gov/Bills/193/S1483
S151,heard,sent_to_study,S2630,,"2024-02-12 Accompanied a study order, see S2630",https://malegislature.gov/Bills/193/S151
S1551,reporting_extended,sent_to_study,S2777,,"2024-05-13 Accompanied a study order, see S2777",https://malegislature.gov/Bills/193/S1551
S1557,reported_favorably,died_no_further_action,,,2024-05-20 Bill reported favorably by committee and referred to the committee on Senate Ways and Means,https://malegislature.gov/Bills/193/S1557
S174,heard,sent_to_study,S2630,,"2024-02-12 Accompanied a study order, see S2630",https://malegislature.gov/Bills/193/S174
S184,reporting_extended,died_no_further_action,,,"2024-08-05 Reporting date extended to Tuesday December 31, 2024, pending concurrence",https://malegislature.gov/Bills/193/S184
S1896,reported_favorably,died_no_further_action,,,2024-03-14 Bill reported favorably by committee and referred to the committee on Senate Ways and Means,https://malegislature.gov/Bills/193/S1896
S194,heard,sent_to_study,S2630,,"2024-02-12 Accompanied a study order, see S2630",https://malegislature.gov/Bills/193/S194
S195,reported_favorably,died_no_further_action,,,2024-04-16 Bill reported favorably by committee and referred to the committee on Senate Ways and Means,https://malegislature.gov/Bills/193/S195
S198,referred,superseded_by_redraft,S2539,,"2023-12-28 Accompanied a new draft, see S2539",https://malegislature.gov/Bills/193/S198
S209,reporting_extended,died_no_further_action,,,"2024-08-05 Reporting date extended to Tuesday December 31, 2024, pending concurrence",https://malegislature.gov/Bills/193/S209
S218,reporting_extended,died_no_further_action,,,"2024-08-05 Reporting date extended to Tuesday December 31, 2024, pending concurrence",https://malegislature.gov/Bills/193/S218
