bill_number,title,domain_title_terms,broad_title_terms,committee_net,fetch_status,legislation_type,text_chars,text_terms,snippet
H1809,An Act prohibiting electronic tracking of motor vehicles,tracking,electronic,,ok,Bill,3460,,
H1893,An Act relative to social media privacy protection,privacy;social_media,,,ok,Bill,17888,,
H1976,"An Act to improve the quality of mental health services, and rights of patients, by providing for sufficient privacy.",privacy,,,ok,Bill,1757,privacy_generic:3,"apter: 1.) An Act to improve the quality of mental health services, and rights of patients, by providing for sufficient privacy. 2.) All individuals, who present themselves, for mental health services, and/or are admitted for such services, and/or"
H1986,Resolve relative to children’s mental health in social media,social_media,,,ok,Resolve,6157,personal_information:1;privacy_generic:3,ensure privacy in age verification; (3) data management best practices to mitigate the unauthorized access of a child’s personal information or data; and (4) tools and features that social media platforms may provide to prevent children from harm while using t
H2334,"An Act relative to tracking, tracing and stopping illegal firearms",tracking,,,ok,Bill,3644,,
H2336,An Act relative to the expansion of the state DNA database,genetic,,,ok,Bill,1793,,
H2342,An Act relative to lawfully owed DNA,genetic,,,ok,Bill,1478,,
H326,An Act to prohibit negative option sales and disclosure of financial and personal information without a consumer’s express agreement,personal_information,information,,ok,Bill,7180,personal_information:2,"eptive act or practice in violation of Chapter 93A. Section 117. Prohibited Disclosures (a) Disclosure of financial and personal information prohibited Except as otherwise expressly provided in this chapter, a financial institution, its officers, employees, ag"
H3404,An Act establishing driver privacy protections,privacy,,,ok,Bill,8209,data_privacy:1;geolocation:1;privacy_generic:1,"CTION 1. The General Laws are hereby amended by inserting after chapter 90J the following chapter:- CHAPTER 90K. DRIVER PRIVACY PROTECTIONS. Section 1. As used in this chapter, the following words shall have the following meanings unless the context clearly"
H3434,An Act relative to all-electronic tolling data privacy,privacy;data_privacy_protection,data;electronic,,ok,Bill,5071,geolocation:1,"er in connection with the assessment or collection of a toll, including, without limitation, GPS coordinates or vehicle location information, dates and times traveled, images, vehicle speed, and license plate numbers, existing in an any form or medium, whether"
H357,"An Act protecting reproductive health access, LGBTQ lives, religious liberty, and freedom of movement by banning the sale of cell phone location information",location_data,information,,ok,Bill,16257,data_privacy:1;geolocation:54;opt_out_privacy:1;privacy_generic:9,"ing in the 2018 Official Edition, are hereby amended by inserting after chapter 93K the following chapter: CHAPTER 93L. Privacy Protections for Location Information Derived from Electronic Devices Section 1. Definitions As used in this chapter, the following"
H377,An Act to protect patient privacy and prevent unfair and deceptive advertising of pregnancy-related services,privacy,,,ok,Bill,15090,personal_information:19;privacy_generic:2,"ssessment of a health condition. “Collect”, buying, renting, gathering, obtaining, receiving or otherwise accessing any personal information pertaining to an individual by any means, including, but not limited to, obtaining information from an individual, eith"
H4299,"Extension Order - Advanced Information Technology, the Internet and Cybersecurity",cybersecurity,information;internet;technology,,ok,Extension Order,337,,
H4323,An Act to protect the privacy of 911 callers,privacy,,,ok,Bill,2238,personal_information:1;privacy_generic:1;record_nondisclosure:1,"costs related to transcript preparation. Before providing the transcript, the name, address, telephone number and other personally identifying information of the caller or any person involved in the facts or circumstances relating to the 911 call may be redacted."
H4359,An Act to implement the recommendations of the special commission on facial recognition technology,facial_recognition,technology,,ok,Bill,11469,biometric:12;facial_recognition:38;surveillance:7,"n this section, the following words shall, unless the context clearly requires otherwise, have the following meanings: “Biometric surveillance technology”, any computer software that performs facial recognition or other remote biometric recognition."
H4536,"Extension Order - Advanced Information Technology, the Internet and Cybersecurity",cybersecurity,information;internet;technology,,ok,Extension Order,330,,
H4632,An Act establishing the Massachusetts Data Privacy Act,privacy;data_privacy_protection,data,J33,ok,Bill,96301,personal_information:11;data_privacy:5;data_broker:22;biometric:7;geolocation:56;genetic_privacy:5;sale_of_data:1;opt_out_privacy:8;privacy_generic:51,"ividual’s freely given, specific, informed, and unambiguous agreement to allow the processing of specific categories of personal information relating to the individual for a narrowly defined particular purpose after having been informed, in response to a speci"
H4836,An Act to establish a DNA exception rule for victims of rape,genetic,,,ok,Bill,1231,,
H4844,An Act providing protections for reproductive or gender-affirming care location information,location_data,information,,ok,Bill,15030,data_privacy:1;geolocation:38;privacy_generic:8,"ter chapter 93l the 2 following chapter:- 3 chapter 93m. 4 reproductive or gender-affirming care location information 5 privacy protections 6 section 1. as used in this chapter, the following words shall, unless the context clearly 7 requires otherwise, have"
H532,An Act relative to student and educator data privacy,privacy;data_privacy_protection,data,,ok,Bill,20604,personal_information:4;data_privacy:5;biometric:1;geolocation:1;data_protection:1;security_breach:4;privacy_generic:11,"aphs; voice recordings; and persistent unique identifiers. “De-identified data”, records and information from which all personally identifiable information has been removed or obscured such that the remaining information does not reasonably identify a specific individual, in"
H60,An Act establishing the Massachusetts information privacy and security act,privacy,information,J33,ok,Bill,109390,personal_information:246;data_privacy:8;data_broker:31;biometric:5;geolocation:5;genetic_privacy:3;sale_of_data:19;opt_out_privacy:12;security_breach:4;right_to_privacy:3;privacy_generic:48;record_nondisclosure:1,"etina or iris scan, fingerprint, voiceprint, map or scan of hand or face geometry, vein pattern, gait pattern, or other personal information generated from the specific technical processing of an individual’s unique biological or physiological patterns or char"
H63,An Act to protect biometric information,biometric,information,J33,ok,Bill,17428,data_privacy:1;biometric:66;security_breach:1;surveillance:1;privacy_generic:8,"ing in the 2020 Official Edition, are hereby amended by inserting after chapter 93L the following chapter: CHAPTER 93M. Privacy Protections for Biometric Information Section 1. Definitions a. As used in this chapter, the following words shall, unless the con"
H655,"An Act requiring dignity, privacy, and safety for residents in nursing homes and rest homes",privacy,,,ok,Bill,2071,privacy_generic:1,"rivate room shall be defined by regulation promulgated by the department, but shall be sufficiently spacious to provide privacy for each resident, space for facility equipment, beds, supplies, television, personal item and clothing storage and sea"
H73,An Act relative to the interception of wire and oral communications,wiretap_interception,,J33,ok,Bill,4235,surveillance:1,"violent acts, and holding these groups and individuals responsible for such acts, requires the use of modern electronic surveillance devices. Therefore, the general court finds that the use of such devices by law enforcement officials, as it relates to"
H76,An Act relative to protecting sensitive information from security breaches,data_security_breach,information,J33,ok,Bill,10015,personal_information:20;biometric:3;geolocation:5;genetic_privacy:2;security_breach:14,"provided, however, that such unauthorized acquisition or use compromises the security, confidentiality, or integrity of personal information maintained by a person or agency; and provided further, that a good faith but unauthorized acquisition of personal info"
H80,An Act relative to internet privacy rights for children,privacy,internet,J33,ok,Bill,11787,personal_information:1,"mobile application shall not knowingly use, disclose, compile, or allow a third party to use, disclose or compile, the personal information of a minor with actual knowledge that the use, disclosure or compilation is for the purpose of marketing or advertising"
H83,An Act to establish the Massachusetts data privacy protection act,privacy;data_privacy_protection,data,J33,ok,Bill,88425,personal_information:11;data_privacy:5;data_broker:23;biometric:9;geolocation:4;facial_recognition:2;genetic_privacy:4;sale_of_data:1;opt_out_privacy:5;surveillance:1;electronic_monitoring:26;privacy_generic:49,e is reasonably necessary to enable the third party to provide a benefit to which the consumer is entitled; the sale of personal data to third parties is clearly disclosed in the terms of the program; and the third party uses the personal data only for
S1022,An Act to protect the privacy of 911 callers,privacy,,,ok,Bill,1372,privacy_generic:1,"ed, except pursuant to a court order finding that the right of the public to the release of the recording outweighs the privacy interests of the individual who made the 911 call or any person involved in the facts or circumstances relating to the"
S1060,An Act to provide a DNA exception for statute of limitations on sex offenses,genetic,,,ok,Bill,562,,
S1075,An Act updating the Commonwealth's wiretap statutes,wiretap_interception,,,ok,Bill,2973,surveillance:2;privacy_generic:1,"rime as described in clause 7 of paragraph B. Therefore, law enforcement officials may use modern methods of electronic surveillance, under strict judicial supervision, when investigating those specific crimes. The general court further finds that the"
S1093,"An Act providing a defense to prosecution for violations of the wiretap law for interceptions made to make a record of threats, harassment or other crimes",wiretap_interception,,,ok,Bill,1915,,
S1123,An Act relative to the tracking of medical malpractice cases,tracking,,,ok,Bill,496,,
